epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,1245.84,0.43824,0.37502,0.4275,0.00141,0.26263,0.89855,0.86196,0.95939,0.9154,0.89855,0.86196,0.95939,0.87954,0.31186,0.34813,0.35127,0.00129,0,0.000405546,0.000405546,0.000405546
43,1275.06,0.41432,0.36562,0.39688,0.00139,0.24591,0.7347,0.92932,0.91432,0.86932,0.7358,0.93065,0.91468,0.84371,0.33816,0.35985,0.46352,0.00143,0,0.000401877,0.000401877,0.000401877
44,1304.13,0.42935,0.36973,0.37739,0.00139,0.22399,0.72297,0.95115,0.89966,0.85812,0.72297,0.95115,0.90017,0.81882,0.3351,0.36894,0.48135,0.00141,0,0.000398207,0.000398207,0.000398207
45,1333.08,0.41174,0.3554,0.42376,0.00138,0.2715,0.71908,0.94543,0.9077,0.87257,0.71908,0.94543,0.90811,0.82917,0.31646,0.34824,0.44818,0.00133,0,0.000394538,0.000394538,0.000394538
46,1361.97,0.41179,0.37391,0.38919,0.00133,0.25285,0.75509,0.91136,0.92791,0.889,0.75509,0.91136,0.92791,0.85989,0.3195,0.35746,0.42662,0.00135,0,0.000390868,0.000390868,0.000390868
47,1391.27,0.41093,0.35913,0.37202,0.00136,0.2278,0.87836,0.90144,0.95877,0.91741,0.87836,0.90144,0.95877,0.87842,0.3169,0.33226,0.32825,0.0013,0,0.000387198,0.000387198,0.000387198
48,1420.08,0.41669,0.35989,0.4209,0.00132,0.25491,0.81386,0.87378,0.93594,0.8955,0.81386,0.87378,0.93594,0.8635,0.30702,0.34602,0.40368,0.00128,0,0.000383529,0.000383529,0.000383529
49,1449.09,0.41621,0.35345,0.36189,0.00141,0.21919,0.74509,0.93293,0.92417,0.87773,0.74626,0.93407,0.92634,0.84817,0.33904,0.3597,0.45266,0.00144,0,0.000379859,0.000379859,0.000379859
50,1478.12,0.4071,0.34591,0.35749,0.00132,0.22157,0.71919,0.95264,0.92169,0.88538,0.71919,0.95264,0.92153,0.84224,0.31324,0.35727,0.44587,0.00131,0,0.00037619,0.00037619,0.00037619
51,1507.38,0.41519,0.36971,0.36552,0.00135,0.21945,0.84495,0.85962,0.93342,0.89079,0.84375,0.85836,0.93255,0.86129,0.32774,0.34752,0.4302,0.00137,0,0.00037252,0.00037252,0.00037252
52,1536.31,0.40469,0.36172,0.40364,0.00132,0.25108,0.90225,0.90266,0.9575,0.91878,0.90225,0.90266,0.95813,0.87979,0.30253,0.33809,0.35393,0.00126,0,0.00036885,0.00036885,0.00036885
53,1565.33,0.41435,0.37551,0.45141,0.00136,0.26829,0.7853,0.92662,0.94211,0.89646,0.7853,0.92662,0.94211,0.86877,0.32312,0.33802,0.39443,0.00136,0,0.000365181,0.000365181,0.000365181
54,1594.4,0.40315,0.35388,0.36558,0.00129,0.21978,0.75967,0.93439,0.92857,0.89412,0.75967,0.93439,0.92857,0.85764,0.30794,0.34209,0.42123,0.00127,0,0.000361511,0.000361511,0.000361511
55,1623.66,0.39694,0.34819,0.38055,0.00132,0.23982,0.74231,0.90878,0.91996,0.87722,0.74339,0.9101,0.9216,0.84405,0.32183,0.34954,0.44494,0.00133,0,0.000357842,0.000357842,0.000357842
56,1652.6,0.38758,0.3468,0.36428,0.00131,0.22612,0.86762,0.87931,0.9545,0.91782,0.86762,0.87931,0.95526,0.88042,0.3111,0.3414,0.34874,0.0013,0,0.000354172,0.000354172,0.000354172
57,1681.64,0.39314,0.34354,0.34029,0.00123,0.20201,0.89328,0.90351,0.96784,0.92741,0.89328,0.90351,0.96724,0.89678,0.31788,0.32438,0.32012,0.00132,0,0.000350502,0.000350502,0.000350502
58,1710.99,0.41471,0.36189,0.35419,0.00133,0.19803,0.72563,0.93833,0.91681,0.87862,0.72563,0.93833,0.91733,0.84512,0.31739,0.38601,0.50039,0.00134,0,0.000346833,0.000346833,0.000346833
59,1740.1,0.39287,0.3474,0.35645,0.0013,0.21883,0.74,0.93165,0.92244,0.88749,0.74,0.93165,0.92313,0.84682,0.31017,0.36058,0.4444,0.0013,0,0.000343163,0.000343163,0.000343163
60,1769.16,0.38907,0.34739,0.33777,0.00124,0.19211,0.80142,0.91607,0.94348,0.90777,0.80142,0.91607,0.94316,0.87318,0.30797,0.34362,0.39105,0.00129,0,0.000339494,0.000339494,0.000339494
61,1798.21,0.38476,0.34804,0.33941,0.00128,0.17958,0.79691,0.89644,0.93861,0.90065,0.79691,0.89644,0.93861,0.86099,0.3095,0.34138,0.42021,0.00129,0,0.000335824,0.000335824,0.000335824
62,1827.31,0.40461,0.35345,0.33235,0.00127,0.17844,0.77855,0.8758,0.9039,0.86866,0.77855,0.8758,0.90399,0.83268,0.30955,0.35377,0.56468,0.00129,0,0.000332154,0.000332154,0.000332154
63,1856.23,0.38335,0.33628,0.35475,0.00125,0.22666,0.87431,0.92149,0.9693,0.92603,0.87431,0.92149,0.9693,0.89274,0.31357,0.33153,0.32463,0.00129,0,0.000328485,0.000328485,0.000328485
64,1885.43,0.40419,0.33177,0.34903,0.00131,0.23371,0.71674,0.95549,0.91769,0.88434,0.71674,0.95549,0.9182,0.84041,0.30696,0.33691,0.44277,0.00129,0,0.000324815,0.000324815,0.000324815
65,1914.38,0.40504,0.33471,0.31569,0.00132,0.18206,0.84987,0.8856,0.9467,0.90441,0.84987,0.8856,0.9472,0.88521,0.32083,0.33638,0.36713,0.00135,0,0.000321146,0.000321146,0.000321146
66,1943.37,0.38728,0.34948,0.31508,0.00125,0.19411,0.82445,0.88048,0.93647,0.90236,0.82325,0.87923,0.93628,0.86011,0.30744,0.34667,0.38395,0.00129,0,0.000317476,0.000317476,0.000317476
67,1972.24,0.37915,0.33883,0.3206,0.00129,0.20478,0.73807,0.93657,0.92438,0.89257,0.73803,0.93664,0.9249,0.85069,0.29841,0.34265,0.44289,0.00125,0,0.000313806,0.000313806,0.000313806
68,2001.6,0.37098,0.33636,0.30652,0.0012,0.19611,0.88597,0.90948,0.96403,0.92837,0.88597,0.90948,0.96434,0.89242,0.30205,0.33022,0.30665,0.00127,0,0.000310137,0.000310137,0.000310137
69,2030.5,0.36995,0.32749,0.30291,0.00119,0.19199,0.91639,0.91176,0.96795,0.93673,0.91639,0.91176,0.96818,0.89032,0.28667,0.33451,0.28527,0.00119,0,0.000306467,0.000306467,0.000306467
70,2059.94,0.38648,0.34618,0.31748,0.00126,0.18025,0.73974,0.95708,0.92857,0.89234,0.73879,0.9601,0.92896,0.8547,0.31748,0.33191,0.40903,0.00132,0,0.000302798,0.000302798,0.000302798
71,2088.82,0.37314,0.32431,0.29722,0.0012,0.19376,0.89502,0.89329,0.96755,0.93338,0.89502,0.89329,0.96803,0.89005,0.30086,0.32575,0.308,0.00125,0,0.000299128,0.000299128,0.000299128
72,2117.9,0.37402,0.31968,0.28945,0.00122,0.16189,0.73947,0.9572,0.92887,0.89485,0.73947,0.9572,0.92921,0.8616,0.30595,0.34227,0.39788,0.0013,0,0.000295458,0.000295458,0.000295458
73,2146.89,0.38297,0.3369,0.27329,0.00119,0.15718,0.82018,0.93486,0.95623,0.92376,0.82018,0.93486,0.95658,0.88722,0.29812,0.32353,0.3308,0.00124,0,0.000291789,0.000291789,0.000291789
74,2175.89,0.37565,0.32094,0.29207,0.00122,0.17611,0.80491,0.86292,0.92431,0.89227,0.80491,0.86292,0.92431,0.84978,0.30241,0.33754,0.44646,0.00127,0,0.000288119,0.000288119,0.000288119
75,2204.92,0.36896,0.30907,0.2755,0.00119,0.15874,0.87833,0.88891,0.95513,0.91873,0.87833,0.88891,0.95513,0.88729,0.30146,0.32256,0.33501,0.00124,0,0.00028445,0.00028445,0.00028445
76,2234.15,0.38782,0.32809,0.31032,0.00123,0.17459,0.86327,0.87997,0.95078,0.91647,0.86327,0.87997,0.95188,0.88217,0.30437,0.33024,0.36021,0.00128,0,0.00028078,0.00028078,0.00028078
77,2263.28,0.36537,0.31809,0.30223,0.00116,0.17252,0.90401,0.92787,0.97216,0.94386,0.90401,0.92787,0.9726,0.89767,0.28892,0.32219,0.26519,0.00121,0,0.00027711,0.00027711,0.00027711
78,2292.62,0.36032,0.31563,0.28916,0.00116,0.19167,0.83492,0.89968,0.9398,0.9091,0.83492,0.89968,0.94056,0.86117,0.29451,0.34204,0.38062,0.00122,0,0.000273441,0.000273441,0.000273441
79,2321.62,0.37329,0.33366,0.27266,0.00123,0.16179,0.89921,0.90536,0.96503,0.93222,0.89921,0.90536,0.96503,0.88957,0.29308,0.33355,0.31342,0.00121,0,0.000269771,0.000269771,0.000269771
80,2350.69,0.36889,0.32993,0.31176,0.00124,0.1843,0.83839,0.82208,0.92927,0.89635,0.83988,0.8234,0.9313,0.85872,0.30401,0.33291,0.43153,0.00126,0,0.000266102,0.000266102,0.000266102
81,2379.71,0.37028,0.32298,0.29745,0.00117,0.16136,0.88986,0.87456,0.95606,0.92432,0.89126,0.87588,0.9573,0.8852,0.29794,0.33043,0.34219,0.00124,0,0.000262432,0.000262432,0.000262432
82,2408.71,0.36251,0.32082,0.29875,0.00116,0.17561,0.90328,0.89474,0.96534,0.93191,0.90156,0.89699,0.96574,0.90279,0.29227,0.32448,0.29996,0.00121,0,0.000258762,0.000258762,0.000258762
83,2437.67,0.37485,0.32487,0.29319,0.0012,0.16568,0.84882,0.86623,0.93643,0.90555,0.84882,0.86623,0.93696,0.86141,0.28566,0.33424,0.42927,0.0012,0,0.000255093,0.000255093,0.000255093
84,2466.81,0.36107,0.32717,0.2858,0.00114,0.16297,0.82775,0.81873,0.91418,0.88348,0.82775,0.81873,0.91473,0.84681,0.29056,0.33997,0.52937,0.00122,0,0.000251423,0.000251423,0.000251423
85,2495.72,0.37398,0.33009,0.28159,0.00118,0.15833,0.87764,0.90511,0.9594,0.92738,0.87764,0.90511,0.9596,0.88279,0.28881,0.33274,0.32331,0.0012,0,0.000247754,0.000247754,0.000247754
86,2524.74,0.37101,0.33095,0.30988,0.00116,0.18569,0.92013,0.92322,0.97498,0.94608,0.92013,0.92322,0.97498,0.89764,0.28248,0.31434,0.26128,0.00118,0,0.000244084,0.000244084,0.000244084
87,2554.25,0.366,0.32938,0.28562,0.00119,0.16273,0.81179,0.93081,0.94747,0.91694,0.81179,0.93081,0.9477,0.873,0.29247,0.32961,0.36687,0.00121,0,0.000240414,0.000240414,0.000240414
88,2583.31,0.37155,0.34217,0.30104,0.0012,0.16526,0.78008,0.91713,0.93378,0.90434,0.78008,0.91713,0.93378,0.86085,0.29297,0.3196,0.41767,0.00121,0,0.000236745,0.000236745,0.000236745
89,2612.22,0.36304,0.3352,0.25891,0.00115,0.15138,0.91015,0.91221,0.96838,0.93392,0.9115,0.91353,0.97025,0.89444,0.29784,0.32619,0.28407,0.00123,0,0.000233075,0.000233075,0.000233075
90,2641.23,0.35608,0.30908,0.24801,0.00119,0.12306,0.92968,0.9256,0.97404,0.94117,0.92968,0.9256,0.97532,0.90173,0.28643,0.31585,0.25236,0.00118,0,0.000229406,0.000229406,0.000229406
91,2670.23,0.36196,0.31769,0.27055,0.00117,0.16378,0.72922,0.93074,0.90833,0.87495,0.73119,0.9333,0.90891,0.84186,0.30987,0.33446,0.52199,0.00132,0,0.000225736,0.000225736,0.000225736
92,2699.35,0.36242,0.32973,0.26476,0.00114,0.15852,0.82567,0.90374,0.93998,0.91335,0.82567,0.90374,0.93998,0.8667,0.28257,0.32819,0.41625,0.00118,0,0.000222066,0.000222066,0.000222066
93,2728.3,0.35275,0.31743,0.23076,0.00113,0.11631,0.85618,0.8853,0.94736,0.92065,0.85618,0.8853,0.94782,0.87966,0.2787,0.31653,0.40346,0.00116,0,0.000218397,0.000218397,0.000218397
94,2757.44,0.35226,0.31321,0.24224,0.0011,0.12427,0.85613,0.86703,0.93237,0.90474,0.85613,0.86703,0.93362,0.86777,0.28672,0.32068,0.44338,0.00118,0,0.000214727,0.000214727,0.000214727
95,2786.58,0.35211,0.31598,0.24962,0.00111,0.12474,0.86804,0.89929,0.95333,0.92371,0.86804,0.89929,0.95426,0.88746,0.2829,0.32507,0.35931,0.00117,0,0.000211058,0.000211058,0.000211058
96,2815.7,0.34381,0.3043,0.22659,0.00109,0.11778,0.90113,0.89275,0.95759,0.92839,0.90113,0.89275,0.95762,0.88703,0.27907,0.32863,0.33109,0.00116,0,0.000207388,0.000207388,0.000207388
97,2844.97,0.34517,0.31011,0.25116,0.00115,0.14952,0.92005,0.92323,0.96941,0.94295,0.92005,0.92323,0.96965,0.89242,0.27948,0.32006,0.28248,0.00116,0,0.000203718,0.000203718,0.000203718
