epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
53,1134.33,0.70435,0.5734,0.58175,0.00163,0.55842,0.74757,0.81335,0.86194,0.7436,0.74755,0.79861,0.84799,0.62911,0.60218,0.88526,0.61384,0.00166,0,0.000365181,0.000365181,0.000365181
54,1154.62,0.70222,0.57517,0.59686,0.00162,0.58791,0.78946,0.8532,0.90012,0.78332,0.78398,0.83535,0.88563,0.66507,0.57596,0.83156,0.51624,0.00159,0,0.000361511,0.000361511,0.000361511
55,1174.84,0.68403,0.57741,0.5786,0.00163,0.55436,0.84999,0.81993,0.9048,0.78752,0.8504,0.81071,0.89573,0.68114,0.57725,0.76359,0.50213,0.00159,0,0.000357842,0.000357842,0.000357842
56,1195.75,0.71038,0.56199,0.58394,0.00162,0.56399,0.81066,0.82343,0.88965,0.76659,0.80984,0.80397,0.8731,0.66283,0.59795,0.77624,0.55591,0.00167,0,0.000354172,0.000354172,0.000354172
57,1216.04,0.71914,0.60188,0.56364,0.00161,0.5713,0.77778,0.81785,0.86975,0.75476,0.7741,0.81025,0.86146,0.65411,0.59312,0.82698,0.60238,0.00163,0,0.000350502,0.000350502,0.000350502
58,1240.46,0.69181,0.57934,0.54449,0.00158,0.5572,0.76638,0.83171,0.88239,0.76029,0.75907,0.82287,0.86928,0.65205,0.61604,0.83781,0.56241,0.00171,0,0.000346833,0.000346833,0.000346833
59,1260.8,0.70594,0.58129,0.55897,0.00162,0.57379,0.76642,0.8188,0.8857,0.77096,0.75668,0.8096,0.87184,0.64846,0.58654,0.85089,0.58897,0.00161,0,0.000343163,0.000343163,0.000343163
60,1282.29,0.69857,0.56231,0.55524,0.00163,0.52877,0.80702,0.83073,0.896,0.78306,0.8021,0.82304,0.88434,0.67139,0.57304,0.80649,0.5124,0.00159,0,0.000339494,0.000339494,0.000339494
61,1303.56,0.7114,0.58775,0.55746,0.00158,0.50543,0.67886,0.84259,0.84259,0.72927,0.67071,0.83628,0.83063,0.62822,0.60634,0.89634,0.6816,0.00169,0,0.000335824,0.000335824,0.000335824
62,1323.83,0.67845,0.54907,0.51086,0.00156,0.48855,0.77246,0.82917,0.87465,0.75853,0.76536,0.82071,0.86242,0.64956,0.592,0.8457,0.60095,0.00161,0,0.000332154,0.000332154,0.000332154
63,1344.2,0.66545,0.55342,0.52576,0.00152,0.5492,0.83903,0.83576,0.90891,0.78681,0.82902,0.82568,0.89552,0.66582,0.58858,0.82125,0.50407,0.00161,0,0.000328485,0.000328485,0.000328485
64,1367.17,0.68922,0.57767,0.5046,0.00153,0.48989,0.77777,0.83703,0.89275,0.77742,0.76965,0.82843,0.87933,0.662,0.59581,0.80264,0.54879,0.00164,0,0.000324815,0.000324815,0.000324815
65,1387.56,0.67879,0.55195,0.50773,0.00153,0.45183,0.69011,0.84161,0.85199,0.74178,0.68539,0.8355,0.84278,0.62925,0.58167,0.8634,0.65461,0.0016,0,0.000321146,0.000321146,0.000321146
66,1410.37,0.67973,0.572,0.5057,0.00159,0.45548,0.70726,0.74838,0.82032,0.71525,0.70179,0.74049,0.8105,0.61159,0.57448,0.85785,0.7011,0.00157,0,0.000317476,0.000317476,0.000317476
67,1430.84,0.66605,0.55435,0.50063,0.00149,0.47839,0.87177,0.85382,0.92794,0.80932,0.86401,0.84553,0.91712,0.68271,0.57199,0.80649,0.45636,0.00156,0,0.000313806,0.000313806,0.000313806
68,1455.04,0.68936,0.53654,0.51251,0.00161,0.49901,0.81011,0.84875,0.90631,0.79082,0.80262,0.83736,0.89384,0.67635,0.57241,0.80868,0.52782,0.00159,0,0.000310137,0.000310137,0.000310137
69,1476.82,0.70383,0.55444,0.512,0.00161,0.46881,0.77149,0.82919,0.88085,0.76848,0.76728,0.81078,0.87044,0.6547,0.58,0.82504,0.58069,0.00162,0,0.000306467,0.000306467,0.000306467
70,1497.14,0.67253,0.5518,0.49058,0.0015,0.48737,0.83474,0.84211,0.90606,0.79106,0.83445,0.82547,0.89444,0.67778,0.55916,0.76297,0.51923,0.00154,0,0.000302798,0.000302798,0.000302798
71,1517.43,0.66609,0.56148,0.47579,0.00149,0.47478,0.79147,0.83481,0.89524,0.78059,0.78129,0.8253,0.88398,0.66253,0.57444,0.80887,0.53691,0.00159,0,0.000299128,0.000299128,0.000299128
72,1537.81,0.65637,0.52423,0.47393,0.00146,0.45577,0.86272,0.81088,0.91099,0.79898,0.86268,0.79874,0.89774,0.66955,0.55849,0.81559,0.52026,0.00153,0,0.000295458,0.000295458,0.000295458
73,1558.23,0.64698,0.52036,0.4685,0.00151,0.42591,0.78785,0.83035,0.88895,0.77494,0.77468,0.82232,0.87238,0.64583,0.57109,0.86669,0.55869,0.00157,0,0.000291789,0.000291789,0.000291789
74,1578.53,0.66786,0.55276,0.50206,0.00153,0.4916,0.81723,0.85979,0.9124,0.79612,0.80646,0.84965,0.89772,0.67558,0.57712,0.81026,0.51278,0.00159,0,0.000288119,0.000288119,0.000288119
75,1598.76,0.65484,0.53288,0.46325,0.0015,0.44431,0.81858,0.84998,0.90961,0.795,0.81752,0.83161,0.89794,0.67386,0.57298,0.81396,0.51651,0.00159,0,0.00028445,0.00028445,0.00028445
76,1619.09,0.65582,0.52686,0.45981,0.00151,0.41,0.80098,0.8495,0.90769,0.79179,0.80872,0.82984,0.8961,0.67612,0.57702,0.83661,0.52574,0.00161,0,0.00028078,0.00028078,0.00028078
77,1639.46,0.65325,0.54333,0.48132,0.00146,0.48022,0.88488,0.87099,0.93848,0.82282,0.88668,0.86091,0.92725,0.7018,0.55731,0.77097,0.43234,0.00153,0,0.00027711,0.00027711,0.00027711
78,1660.15,0.6489,0.53627,0.47955,0.0015,0.43963,0.80106,0.81385,0.89063,0.7746,0.79796,0.80416,0.88075,0.66833,0.58936,0.83859,0.57151,0.00163,0,0.000273441,0.000273441,0.000273441
79,1682.53,0.65211,0.53504,0.51048,0.00152,0.56624,0.83607,0.84501,0.91599,0.8024,0.83214,0.83909,0.90745,0.67628,0.55133,0.80254,0.48956,0.00152,0,0.000269771,0.000269771,0.000269771
80,1704.19,0.66041,0.54487,0.47071,0.00147,0.51445,0.74464,0.85517,0.88696,0.77207,0.74314,0.84253,0.87639,0.65132,0.58029,0.84277,0.57477,0.00159,0,0.000266102,0.000266102,0.000266102
81,1724.53,0.65049,0.5281,0.46321,0.00151,0.48791,0.78046,0.81278,0.8676,0.75496,0.77397,0.8054,0.85709,0.64206,0.60909,0.8202,0.63695,0.00171,0,0.000262432,0.000262432,0.000262432
82,1745.09,0.66128,0.54731,0.46265,0.00149,0.45092,0.80255,0.8422,0.90328,0.79353,0.79534,0.83464,0.89051,0.68011,0.56399,0.79028,0.51566,0.00154,0,0.000258762,0.000258762,0.000258762
83,1765.5,0.6625,0.52412,0.43868,0.00147,0.43369,0.80958,0.80662,0.88919,0.77904,0.80531,0.79971,0.8808,0.66023,0.5725,0.81416,0.54615,0.0016,0,0.000255093,0.000255093,0.000255093
84,1786.13,0.65315,0.53769,0.45618,0.0015,0.43022,0.87734,0.87183,0.9339,0.82092,0.87074,0.8591,0.92267,0.69867,0.54753,0.75644,0.42812,0.0015,0,0.000251423,0.000251423,0.000251423
85,1806.79,0.65231,0.53281,0.46107,0.00145,0.44884,0.78995,0.81819,0.88638,0.77669,0.78531,0.8102,0.87669,0.66004,0.55834,0.80703,0.58172,0.00152,0,0.000247754,0.000247754,0.000247754
86,1827.35,0.64995,0.54721,0.47648,0.00151,0.5061,0.7874,0.8711,0.91238,0.80133,0.77908,0.85971,0.89985,0.67234,0.55038,0.86831,0.50774,0.00151,0,0.000244084,0.000244084,0.000244084
87,1850.52,0.66044,0.5768,0.45727,0.0015,0.44246,0.78513,0.82696,0.88891,0.77952,0.7768,0.81864,0.87695,0.66425,0.55491,0.84079,0.56741,0.00152,0,0.000240414,0.000240414,0.000240414
88,1871.11,0.64851,0.51695,0.42059,0.00146,0.37068,0.77953,0.84357,0.89143,0.78037,0.80463,0.78827,0.8765,0.65967,0.55917,0.82502,0.58958,0.00155,0,0.000236745,0.000236745,0.000236745
89,1894.39,0.63732,0.49439,0.40496,0.00144,0.35328,0.79336,0.85677,0.90419,0.79278,0.78479,0.84896,0.89074,0.66653,0.55019,0.78477,0.52992,0.0015,0,0.000233075,0.000233075,0.000233075
90,1915.24,0.65588,0.54336,0.44063,0.00147,0.40916,0.80244,0.82656,0.88852,0.78035,0.79568,0.81729,0.87713,0.66672,0.55865,0.7961,0.57677,0.00153,0,0.000229406,0.000229406,0.000229406
91,1935.63,0.65006,0.5447,0.46156,0.00147,0.44311,0.80616,0.82987,0.89812,0.78805,0.79739,0.81855,0.88569,0.67007,0.55871,0.89228,0.54917,0.00155,0,0.000225736,0.000225736,0.000225736
92,1955.99,0.63326,0.50592,0.44871,0.00145,0.38807,0.76827,0.82484,0.88263,0.77667,0.76441,0.81886,0.87527,0.65739,0.55469,0.87647,0.60384,0.00152,0,0.000222066,0.000222066,0.000222066
93,1976.3,0.62686,0.5108,0.43926,0.00141,0.42514,0.85809,0.85358,0.92332,0.8152,0.85432,0.84811,0.91355,0.69078,0.53809,0.81428,0.45511,0.00148,0,0.000218397,0.000218397,0.000218397
94,1996.66,0.62928,0.50244,0.40829,0.00139,0.36402,0.78494,0.82305,0.87449,0.76373,0.78615,0.79672,0.86354,0.65519,0.57058,0.8741,0.60625,0.00158,0,0.000214727,0.000214727,0.000214727
95,2018.93,0.63674,0.51011,0.41417,0.00141,0.35545,0.86157,0.83924,0.91553,0.80698,0.85284,0.83197,0.90409,0.68366,0.53921,0.84032,0.49084,0.00148,0,0.000211058,0.000211058,0.000211058
96,2040.06,0.6114,0.48717,0.40397,0.00142,0.42114,0.75457,0.80602,0.85446,0.75144,0.74721,0.79802,0.84394,0.6337,0.56002,0.87452,0.65011,0.00153,0,0.000207388,0.000207388,0.000207388
97,2060.77,0.63094,0.50003,0.44302,0.00139,0.3925,0.81128,0.86779,0.91646,0.80735,0.84213,0.81724,0.90263,0.6812,0.5481,0.81865,0.49299,0.00151,0,0.000203718,0.000203718,0.000203718
